"","year_month","continent","countries_and_territories","country_territory_code","population_2019","cases","deaths"
"1","2020-01","Africa","Algeria","DZA",43053054,0,0
"2","2020-01","Africa","Egypt","EGY",100388076,0,0
"3","2020-01","Africa","Nigeria","NGA",200963603,0,0
"4","2020-01","America","Brazil","BRA",211049519,0,0
"5","2020-01","America","Canada","CAN",37411038,3,0
"6","2020-01","America","Dominican_Republic","DOM",10738957,0,0
"7","2020-01","America","Ecuador","ECU",17373657,0,0
"8","2020-01","America","Mexico","MEX",127575529,2,0
"9","2020-01","America","United_States_of_America","USA",329064917,6,0
"10","2020-01","Asia","Afghanistan","AFG",38041757,0,0
"11","2020-01","Asia","Bahrain","BHR",1641164,0,0
"12","2020-01","Asia","Cambodia","KHM",16486542,1,0
"13","2020-01","Asia","China","CHN",1433783692,9687,213
"14","2020-01","Asia","India","IND",1366417756,1,0
"15","2020-01","Asia","Indonesia","IDN",270625567,0,0
"16","2020-01","Asia","Iran","IRN",82913893,0,0
"17","2020-01","Asia","Iraq","IRQ",39309789,0,0
"18","2020-01","Asia","Israel","ISR",8519373,0,0
"19","2020-01","Asia","Japan","JPN",126860299,14,0
"20","2020-01","Asia","Kuwait","KWT",4207077,0,0
"21","2020-01","Asia","Lebanon","LBN",6855709,0,0
"22","2020-01","Asia","Malaysia","MYS",31949789,8,0
"23","2020-01","Asia","Nepal","NPL",28608715,1,0
"24","2020-01","Asia","Oman","OMN",4974992,0,0
"25","2020-01","Asia","Pakistan","PAK",216565317,0,0
"26","2020-01","Asia","Philippines","PHL",108116622,1,0
"27","2020-01","Asia","Qatar","QAT",2832071,0,0
"28","2020-01","Asia","Singapore","SGP",5804343,13,0
"29","2020-01","Asia","South_Korea","KOR",51225321,7,0
"30","2020-01","Asia","Sri_Lanka","LKA",21323734,1,0
"31","2020-01","Asia","Taiwan","CNG1925",23773881,9,0
"32","2020-01","Asia","Thailand","THA",69625581,14,0
"33","2020-01","Asia","United_Arab_Emirates","ARE",9770526,4,0
"34","2020-01","Asia","Vietnam","VNM",96462108,5,0
"35","2020-01","Europe","Armenia","ARM",2957728,0,0
"36","2020-01","Europe","Austria","AUT",8858775,0,0
"37","2020-01","Europe","Azerbaijan","AZE",10047719,0,0
"38","2020-01","Europe","Belarus","BLR",9452409,0,0
"39","2020-01","Europe","Belgium","BEL",11455519,0,0
"40","2020-01","Europe","Croatia","HRV",4076246,0,0
"41","2020-01","Europe","Czechia","CZE",10649800,0,0
"42","2020-01","Europe","Denmark","DNK",5806081,0,0
"43","2020-01","Europe","Estonia","EST",1324820,0,0
"44","2020-01","Europe","Finland","FIN",5517919,1,0
"45","2020-01","Europe","France","FRA",67012883,6,0
"46","2020-01","Europe","Georgia","GEO",3996762,0,0
"47","2020-01","Europe","Germany","DEU",83019213,5,0
"48","2020-01","Europe","Greece","GRC",10724599,0,0
"49","2020-01","Europe","Iceland","ISL",356991,0,0
"50","2020-01","Europe","Ireland","IRL",4904240,0,0
"51","2020-01","Europe","Italy","ITA",60359546,3,0
"52","2020-01","Europe","Lithuania","LTU",2794184,0,0
"53","2020-01","Europe","Luxembourg","LUX",613894,0,0
"54","2020-01","Europe","Monaco","MCO",33085,0,0
"55","2020-01","Europe","Netherlands","NLD",17282163,0,0
"56","2020-01","Europe","North_Macedonia","MKD",2077132,0,0
"57","2020-01","Europe","Norway","NOR",5328212,0,0
"58","2020-01","Europe","Romania","ROU",19414458,0,0
"59","2020-01","Europe","Russia","RUS",145872260,0,0
"60","2020-01","Europe","San_Marino","SMR",34453,0,0
"61","2020-01","Europe","Spain","ESP",46937060,0,0
"62","2020-01","Europe","Sweden","SWE",10230185,0,0
"63","2020-01","Europe","Switzerland","CHE",8544527,0,0
"64","2020-01","Europe","United_Kingdom","GBR",66647112,0,0
"65","2020-01","Oceania","Australia","AUS",25203200,7,0
"66","2020-01","Oceania","New_Zealand","NZL",4783062,0,0
"67","2020-02","Africa","Algeria","DZA",43053054,1,0
"68","2020-02","Africa","Egypt","EGY",100388076,1,0
"69","2020-02","Africa","Nigeria","NGA",200963603,1,0
"70","2020-02","America","Brazil","BRA",211049519,1,0
"71","2020-02","America","Canada","CAN",37411038,13,0
"72","2020-02","America","Dominican_Republic","DOM",10738957,0,0
"73","2020-02","America","Ecuador","ECU",17373657,0,0
"74","2020-02","America","Mexico","MEX",127575529,12,0
"75","2020-02","America","United_States_of_America","USA",329064917,60,0
"76","2020-02","Asia","Afghanistan","AFG",38041757,1,0
"77","2020-02","Asia","Bahrain","BHR",1641164,38,0
"78","2020-02","Asia","Cambodia","KHM",16486542,0,0
"79","2020-02","Asia","China","CHN",1433783692,69641,2624
"80","2020-02","Asia","India","IND",1366417756,2,0
"81","2020-02","Asia","Indonesia","IDN",270625567,0,0
"82","2020-02","Asia","Iran","IRN",82913893,388,34
"83","2020-02","Asia","Iraq","IRQ",39309789,7,0
"84","2020-02","Asia","Israel","ISR",8519373,7,0
"85","2020-02","Asia","Japan","JPN",126860299,216,3
"86","2020-02","Asia","Kuwait","KWT",4207077,45,0
"87","2020-02","Asia","Lebanon","LBN",6855709,3,0
"88","2020-02","Asia","Malaysia","MYS",31949789,17,0
"89","2020-02","Asia","Nepal","NPL",28608715,0,0
"90","2020-02","Asia","Oman","OMN",4974992,6,0
"91","2020-02","Asia","Pakistan","PAK",216565317,2,0
"92","2020-02","Asia","Philippines","PHL",108116622,2,1
"93","2020-02","Asia","Qatar","QAT",2832071,0,0
"94","2020-02","Asia","Singapore","SGP",5804343,85,0
"95","2020-02","Asia","South_Korea","KOR",51225321,2924,16
"96","2020-02","Asia","Sri_Lanka","LKA",21323734,0,0
"97","2020-02","Asia","Taiwan","CNG1925",23773881,30,1
"98","2020-02","Asia","Thailand","THA",69625581,28,0
"99","2020-02","Asia","United_Arab_Emirates","ARE",9770526,17,0
"100","2020-02","Asia","Vietnam","VNM",96462108,11,0
"101","2020-02","Europe","Armenia","ARM",2957728,0,0
"102","2020-02","Europe","Austria","AUT",8858775,7,0
"103","2020-02","Europe","Azerbaijan","AZE",10047719,1,0
"104","2020-02","Europe","Belarus","BLR",9452409,1,0
"105","2020-02","Europe","Belgium","BEL",11455519,1,0
"106","2020-02","Europe","Croatia","HRV",4076246,5,0
"107","2020-02","Europe","Czechia","CZE",10649800,0,0
"108","2020-02","Europe","Denmark","DNK",5806081,2,0
"109","2020-02","Europe","Estonia","EST",1324820,1,0
"110","2020-02","Europe","Finland","FIN",5517919,2,0
"111","2020-02","Europe","France","FRA",67012883,51,2
"112","2020-02","Europe","Georgia","GEO",3996762,2,0
"113","2020-02","Europe","Germany","DEU",83019213,52,0
"114","2020-02","Europe","Greece","GRC",10724599,4,0
"115","2020-02","Europe","Iceland","ISL",356991,1,0
"116","2020-02","Europe","Ireland","IRL",4904240,0,0
"117","2020-02","Europe","Italy","ITA",60359546,885,21
"118","2020-02","Europe","Lithuania","LTU",2794184,1,0
"119","2020-02","Europe","Luxembourg","LUX",613894,0,0
"120","2020-02","Europe","Monaco","MCO",33085,1,0
"121","2020-02","Europe","Netherlands","NLD",17282163,2,0
"122","2020-02","Europe","North_Macedonia","MKD",2077132,1,0
"123","2020-02","Europe","Norway","NOR",5328212,6,0
